name,governmentId,email,debtAmount,debtDueDate,debtId
Sofia Correia,14568309700,alexandre78@example.com,509334.02,2014-09-04,179
Maria Luiza Araújo,87540312653,freitascalebe@example.net,570765.45,2013-10-28,9930
Sr. Cauê Lopes,53617892086,dfogaca@example.net,641058.27,1983-01-08,7258
Marcela Teixeira,49716825382,lucas-gabrielmoraes@example.com,592849.81,2011-10-25,8373
Breno Nascimento,53706982102,benicio03@example.com,199285.24,1999-05-29,9305
Vitor Hugo Costa,85190624749,matheus63@example.com,253025.03,2018-10-03,8456
Lorenzo Azevedo,69512408767,ocosta@example.net,905259.71,1977-07-19,8221
Maria Alice da Conceição,48397651209,gustavo-henrique33@example.net,401807.75,2013-12-17,3573
Julia Fogaça,51092783423,milena54@example.net,540906.94,1995-01-02,3388
Lorena Lopes,76405821307,salves@example.com,621698.78,1987-04-22,7882
Dr. Calebe da Rosa,41958672076,icosta@example.org,562424.77,1982-05-06,2022
Vicente da Mata,57802461308,cda-rosa@example.com,101985.90,2003-09-21,332
Alexandre Aragão,12947605306,marcos-viniciuscavalcanti@example.net,875869.77,2006-03-14,5358
Mariane Barros,16280743535,nogueiradiogo@example.com,618675.42,1991-06-28,5879
Daniel Gomes,25164809389,da-cruzisabel@example.com,719622.17,2023-04-06,3441
Dr. Theo Alves,89134706593,barbara25@example.org,323306.46,1989-09-10,9491
Maria Sophia Santos,05276948194,tmonteiro@example.org,704121.48,1976-12-18,9617
Ana Júlia Santos,92175683419,luiza31@example.org,597297.98,1994-11-30,8394
Carlos Eduardo Sales,83295706492,martinsraul@example.net,661488.10,1989-01-31,8438
Julia Sales,84637529182,duartemirella@example.org,356420.31,2014-06-03,6959
Natália da Mata,19675438282,aoliveira@example.org,759469.25,2004-12-17,6386
Lucca da Mata,04679128585,tsilveira@example.net,511907.86,2008-05-19,455
Eloah Barros,52783641909,diasheloisa@example.net,744135.29,1996-04-28,8889
João Vitor das Neves,93610457848,caldeiramaria-cecilia@example.org,934393.63,2020-06-11,614
Ana Vitória Viana,89513470601,arthur25@example.com,20593.58,1991-10-07,841
Antônio Moura,95836107203,murilo06@example.com,730069.85,1973-01-25,9279
Luigi Fogaça,01874953600,mduarte@example.org,88850.48,1988-06-14,9776
Miguel Barbosa,42983107523,dpires@example.com,549545.08,1980-08-01,6283
Luiz Miguel Alves,69328715059,rodriguespedro-henrique@example.com,279835.35,1998-12-15,6693
Kevin Melo,75461098258,gomesraquel@example.org,689840.66,2004-04-26,3748
Luiz Miguel Caldeira,10279453841,pedro75@example.net,94685.55,1991-11-28,4621
Maria Luiza Moura,38904651298,csilva@example.net,31752.52,1994-02-04,1954
Ana Laura Caldeira,13925084797,giovannacavalcanti@example.com,721284.40,1990-02-16,6809
Dr. Anthony Barbosa,32870946104,marcos-viniciuscosta@example.net,290847.10,2015-06-21,8248
Paulo Costela,01389762440,nicole05@example.net,920071.82,2005-08-20,4080
Noah Aragão,87564029102,camilapires@example.org,514437.42,2022-10-13,4712
Bruna Teixeira,70213496887,ramosmarina@example.net,169574.44,1977-05-13,9867
Anthony da Cunha,30586947175,ynovaes@example.org,277125.80,1977-08-13,1987
Cauã da Cunha,39548621070,theoda-luz@example.com,539586.77,1979-09-30,6401
Luiz Gustavo Duarte,96820315406,ana24@example.org,708417.42,1989-04-04,6951
Luiz Miguel Barbosa,87014263978,peixotomariana@example.org,729246.13,1976-06-25,7786
Elisa Porto,29867415094,joao-felipeoliveira@example.org,35046.53,1970-10-01,4273
Vitor Azevedo,17249608304,mourayago@example.com,772798.25,1993-06-24,5573
Emanuella Novaes,90146325761,dsantos@example.net,125144.78,1992-12-20,8106
Sr. Kaique da Paz,02715948611,luiz-felipearaujo@example.net,738163.32,1970-11-30,6592
Eduardo Moura,27065193470,pcavalcanti@example.com,287170.27,2002-08-30,3513
Dr. Francisco Correia,29580176302,vianajoao-guilherme@example.org,676995.56,2004-04-01,7060
Isabelly Ferreira,58630427965,beniciomonteiro@example.org,124778.63,1979-05-24,2573
